mode,initial_budget,dca_levels,first_level,level_step,num_levels,take_profit_percent,stop_loss_percent,roi,net_pnl,total_trades,win_rate,stop_loss_rate,avg_trade_pnl,avg_trade_duration_days,largest_loss,largest_profit,error
short,1000,"[7, 11, 15]",7,4,3,7,30,-164.8711,-1648.71,135,73.33,26.67,-12.21,10.44,-172.19,70.0,
short,1000,"[7, 12, 17]",7,5,3,7,20,-164.8876,-1648.88,198,60.1,39.9,-8.33,6.18,-72.85,70.0,
short,1000,"[5, 9, 13, 17, 21, 25]",5,4,6,7,25,-165.408,-1654.08,177,70.62,29.38,-9.35,8.49,-90.82,58.33,
short,1000,"[5, 8, 11, 14, 17]",5,3,5,4,20,-165.85,-1658.5,352,79.26,20.74,-4.71,3.5,-82.66,40.0,
short,1000,"[7, 10, 13, 16, 19, 22]",7,3,6,6,25,-165.8723,-1658.72,191,73.3,26.7,-8.68,6.26,-93.9,60.0,
short,1000,"[7, 12, 17]",7,5,3,6,20,-166.2688,-1662.69,216,63.89,36.11,-7.7,5.16,-72.85,60.0,
short,1000,"[7, 11, 15, 19]",7,4,4,6,20,-166.5546,-1665.55,220,64.09,35.91,-7.57,5.17,-63.61,60.0,
short,1000,"[5, 9, 13, 17, 21]",5,4,5,4,25,-167.098,-1670.98,287,83.28,16.72,-5.82,4.44,-108.98,40.0,
short,1000,"[5, 8, 11, 14, 17, 20]",5,3,6,5,25,-167.1197,-1671.2,246,79.67,20.33,-6.79,5.55,-113.42,50.0,
short,1000,"[6, 11, 16, 21]",6,5,4,5,30,-167.3241,-1673.24,183,80.87,19.13,-9.14,7.42,-148.16,50.0,
short,1000,"[7, 12, 17, 22]",7,5,4,7,25,-167.3721,-1673.72,166,68.07,31.93,-10.08,7.77,-94.32,70.0,
short,1000,"[6, 11, 16]",6,5,3,4,20,-167.9223,-1679.22,306,76.14,23.86,-5.49,3.64,-82.55,40.0,
short,1000,"[7, 10, 13, 16]",7,3,4,4,20,-168.4596,-1684.6,289,75.78,24.22,-5.83,2.92,-77.21,40.0,
short,1000,"[6, 10, 14, 18]",6,4,4,6,30,-168.4942,-1684.94,157,77.71,22.29,-10.73,9.21,-162.57,60.0,
short,1000,"[6, 9, 12, 15, 18]",6,3,5,6,30,-168.7437,-1687.44,160,78.12,21.88,-10.55,9.04,-162.38,60.0,
short,1000,"[5, 10, 15, 20]",5,5,4,6,30,-168.9713,-1689.71,163,78.53,21.47,-10.37,9.49,-158.42,60.0,
short,1000,"[5, 9, 13, 17, 21]",5,4,5,7,20,-169.8354,-1698.35,204,62.25,37.75,-8.33,7.35,-66.27,56.0,
short,1000,"[5, 10, 15, 20]",5,5,4,5,25,-170.5788,-1705.79,237,78.9,21.1,-7.2,5.94,-113.87,50.0,
short,1000,"[6, 11, 16]",6,5,3,4,25,-170.6336,-1706.34,253,81.42,18.58,-6.74,4.63,-127.65,40.0,
short,1000,"[6, 10, 14, 18, 22]",6,4,5,5,30,-171.097,-1710.97,189,81.48,18.52,-9.05,7.18,-143.17,50.0,
short,1000,"[6, 9, 12, 15, 18]",6,3,5,5,20,-171.8673,-1718.67,282,72.7,27.3,-6.09,4.11,-72.97,50.0,
short,1000,"[7, 10, 13, 16, 19]",7,3,5,7,20,-172.2352,-1722.35,199,60.3,39.7,-8.66,6.08,-63.45,70.0,
short,1000,"[5, 8, 11, 14]",5,3,4,3,20,-172.3655,-1723.66,425,84.24,15.76,-4.06,2.51,-96.92,30.0,
short,1000,"[6, 11, 16]",6,5,3,6,30,-172.6552,-1726.55,153,77.12,22.88,-11.28,9.67,-172.76,60.0,
short,1000,"[5, 8, 11, 14, 17, 20]",5,3,6,6,20,-173.2072,-1732.07,252,68.65,31.35,-6.87,5.65,-68.89,50.0,
short,1000,"[6, 11, 16, 21]",6,5,4,6,25,-173.3201,-1733.2,195,73.33,26.67,-8.89,6.91,-104.0,60.0,
short,1000,"[5, 8, 11, 14]",5,3,4,4,30,-173.6568,-1736.57,223,85.65,14.35,-7.79,6.5,-188.33,40.0,
short,1000,"[7, 11, 15]",7,4,3,6,30,-174.6524,-1746.52,148,76.35,23.65,-11.8,9.62,-172.19,60.0,
short,1000,"[8, 11, 14]",8,3,3,5,25,-174.7063,-1747.06,188,74.47,25.53,-9.29,5.12,-126.67,50.0,
short,1000,"[6, 9, 12, 15]",6,3,4,5,30,-174.941,-1749.41,182,81.32,18.68,-9.61,7.85,-177.56,50.0,
short,1000,"[6, 10, 14, 18]",6,4,4,5,20,-175.6882,-1756.88,269,71.38,28.62,-6.53,4.37,-73.14,50.0,
short,1000,"[5, 8, 11, 14, 17]",5,3,5,5,20,-176.2493,-1762.49,291,73.88,26.12,-6.06,4.63,-82.66,50.0,
short,1000,"[8, 12, 16, 20]",8,4,4,7,25,-176.3012,-1763.01,150,65.33,34.67,-11.75,7.68,-98.18,70.0,
short,1000,"[6, 10, 14, 18, 22]",6,4,5,7,25,-177.0528,-1770.53,167,68.86,31.14,-10.6,8.43,-99.2,70.0,
short,1000,"[8, 11, 14, 17]",8,3,4,7,20,-177.168,-1771.68,184,57.07,42.93,-9.63,5.65,-67.62,70.0,
short,1000,"[5, 9, 13, 17, 21, 25]",5,4,6,6,25,-177.2413,-1772.41,200,74.0,26.0,-8.86,7.37,-90.82,50.0,
short,1000,"[5, 10, 15]",5,5,3,4,20,-177.2949,-1772.95,332,78.01,21.99,-5.34,3.82,-92.41,40.0,
short,1000,"[7, 10, 13, 16]",7,3,4,7,30,-179.3632,-1793.63,137,73.72,26.28,-13.09,10.23,-166.98,70.0,
short,1000,"[7, 12, 17]",7,5,3,5,25,-179.453,-1794.53,205,75.61,24.39,-8.75,5.52,-117.56,50.0,
short,1000,"[8, 11, 14]",8,3,3,7,30,-179.6042,-1796.04,122,70.49,29.51,-14.72,10.8,-171.74,70.0,
short,1000,"[5, 10, 15, 20]",5,5,4,4,30,-179.6293,-1796.29,233,85.41,14.59,-7.71,5.97,-158.42,40.0,
short,1000,"[8, 13, 18, 23]",8,5,4,7,25,-179.9192,-1799.19,142,62.68,37.32,-12.67,8.13,-84.8,70.0,
short,1000,"[8, 13, 18]",8,5,3,7,20,-180.0191,-1800.19,178,55.06,44.94,-10.11,6.03,-63.34,70.0,
short,1000,"[5, 8, 11, 14, 17]",5,3,5,6,30,-180.3025,-1803.02,167,79.04,20.96,-10.8,9.31,-172.89,60.0,
short,1000,"[6, 10, 14, 18]",6,4,4,5,25,-180.5277,-1805.28,228,78.07,21.93,-7.92,5.43,-117.86,50.0,
short,1000,"[6, 11, 16, 21]",6,5,4,4,30,-180.7577,-1807.58,217,84.33,15.67,-8.33,5.89,-148.16,40.0,
short,1000,"[7, 10, 13, 16, 19]",7,3,5,6,25,-181.1648,-1811.65,191,73.3,26.7,-9.49,6.27,-107.76,60.0,
short,1000,"[6, 10, 14, 18]",6,4,4,5,30,-181.4942,-1814.94,187,81.28,18.72,-9.71,7.31,-162.57,50.0,
short,1000,"[5, 10, 15]",5,5,3,3,20,-181.6623,-1816.62,400,82.75,17.25,-4.54,2.85,-92.41,30.0,
short,1000,"[6, 9, 12, 15, 18]",6,3,5,5,25,-182.3843,-1823.84,233,78.54,21.46,-7.83,5.26,-117.68,50.0,
short,1000,"[6, 9, 12, 15, 18]",6,3,5,7,20,-183.0612,-1830.61,209,62.2,37.8,-8.76,6.4,-72.97,70.0,
short,1000,"[8, 11, 14, 17, 20]",8,3,5,7,25,-183.4702,-1834.7,150,65.33,34.67,-12.23,7.56,-98.01,70.0,
short,1000,"[5, 10, 15, 20]",5,5,4,5,20,-183.8079,-1838.08,281,71.89,28.11,-6.54,4.93,-69.31,37.5,
short,1000,"[5, 10, 15, 20, 25]",5,5,5,6,25,-183.9908,-1839.91,199,73.37,26.63,-9.25,7.38,-91.09,48.0,
short,1000,"[8, 12, 16]",8,4,3,7,20,-184.1591,-1841.59,184,57.07,42.93,-10.01,5.81,-72.34,70.0,
short,1000,"[6, 9, 12, 15, 18, 21]",6,3,6,6,25,-184.5832,-1845.83,199,73.87,26.13,-9.28,6.62,-103.57,60.0,
short,1000,"[5, 8, 11, 14]",5,3,4,7,30,-184.9059,-1849.06,140,75.0,25.0,-13.21,11.26,-188.33,70.0,
short,1000,"[7, 10, 13]",7,3,3,4,20,-185.2981,-1852.98,288,75.35,24.65,-6.43,2.98,-91.45,40.0,
