initial_budget,dca_levels,first_level,level_step,num_levels,take_profit_percent,stop_loss_percent,roi,net_pnl,total_trades,win_rate,stop_loss_rate,avg_trade_pnl,avg_trade_duration_days,largest_loss,largest_profit,error
1000,"[-8, -11, -14, -17]",-8,3,4,7,20,-378.5,-3785.0,150,74.67,25.33,-25.23,5.24,-200.0,70.0,
1000,"[-7, -12, -17, -22]",-7,5,4,6,15,-378.75,-3787.5,217,65.9,34.1,-17.45,3.97,-150.0,60.0,
1000,"[-7, -12, -17]",-7,5,3,3,10,-379.3333,-3793.33,352,60.23,39.77,-10.78,0.7,-100.0,20.0,
1000,"[-7, -12, -17, -22]",-7,5,4,6,10,-380.5,-3805.0,301,40.2,59.8,-12.64,1.75,-100.0,30.0,
1000,"[-7, -12, -17, -22]",-7,5,4,7,10,-381.0,-3810.0,288,36.81,63.19,-13.23,1.99,-100.0,35.0,
1000,"[-5, -10, -15, -20]",-5,5,4,5,20,-381.25,-3812.5,257,84.82,15.18,-14.83,4.65,-200.0,50.0,
1000,"[-8, -12, -16, -20, -24]",-8,4,5,7,20,-381.4,-3814.0,145,73.79,26.21,-26.3,5.77,-200.0,56.0,
1000,"[-8, -13, -18, -23]",-8,5,4,5,15,-382.5,-3825.0,208,66.35,33.65,-18.39,2.3,-150.0,50.0,
1000,"[-8, -13, -18, -23]",-8,5,4,6,15,-382.5,-3825.0,197,63.45,36.55,-19.42,3.07,-150.0,60.0,
1000,"[-5, -10, -15, -20]",-5,5,4,6,20,-383.0,-3830.0,224,82.14,17.86,-17.1,5.67,-200.0,60.0,
1000,"[-8, -12, -16, -20]",-8,4,4,4,20,-383.0,-3830.0,195,84.1,15.9,-19.64,2.58,-200.0,40.0,
1000,"[-8, -11, -14, -17, -20, -23]",-8,3,6,6,20,-384.3333,-3843.33,162,77.78,22.22,-23.72,4.3,-200.0,60.0,
1000,"[-7, -12, -17]",-7,5,3,6,20,-386.0,-3860.0,177,77.97,22.03,-21.81,5.4,-200.0,60.0,
1000,"[-8, -13, -18, -23]",-8,5,4,7,15,-386.25,-3862.5,184,59.78,40.22,-20.99,3.88,-150.0,70.0,
1000,"[-5, -10, -15, -20, -25]",-5,5,5,6,15,-387.0,-3870.0,280,73.21,26.79,-13.82,4.23,-150.0,48.0,
1000,"[-8, -12, -16, -20, -24]",-8,4,5,5,15,-388.0,-3880.0,207,66.18,33.82,-18.74,2.42,-150.0,40.0,
1000,"[-6, -11, -16, -21]",-6,5,4,4,15,-388.75,-3887.5,309,77.67,22.33,-12.58,2.43,-150.0,40.0,
1000,"[-5, -9, -13, -17, -21]",-5,4,5,7,15,-388.8,-3888.0,240,69.17,30.83,-16.2,5.23,-150.0,70.0,
1000,"[-8, -11, -14, -17, -20]",-8,3,5,5,20,-389.0,-3890.0,178,81.46,18.54,-21.85,3.29,-200.0,50.0,
1000,"[-8, -13, -18]",-8,5,3,7,20,-389.0,-3890.0,146,73.97,26.03,-26.64,5.62,-200.0,70.0,
1000,"[-6, -11, -16, -21]",-6,5,4,4,10,-391.0,-3910.0,397,57.43,42.57,-9.85,1.24,-100.0,20.0,
1000,"[-8, -13, -18]",-8,5,3,3,15,-391.0,-3910.0,239,76.99,23.01,-16.36,1.28,-150.0,30.0,
1000,"[-8, -11, -14, -17, -20, -23]",-8,3,6,7,10,-391.8333,-3918.33,246,29.27,70.73,-15.93,1.48,-100.0,23.33,
1000,"[-8, -11, -14, -17, -20, -23]",-8,3,6,4,15,-393.0,-3930.0,227,72.25,27.75,-17.31,1.74,-150.0,40.0,
1000,"[-7, -11, -15, -19, -23, -27]",-7,4,6,5,15,-393.3333,-3933.33,242,70.66,29.34,-16.25,2.85,-150.0,41.67,
1000,"[-5, -8, -11]",-5,3,3,7,15,-393.6667,-3936.67,248,70.16,29.84,-15.87,5.0,-150.0,70.0,
